"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15723","standard_user can log in","chromium","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","16002","locked out user shows error message","chromium","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","21232","performance_glitch_user login result","chromium","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","25518","performance_glitch_user can log in","firefox","2026-02-02","failed","2026-02-02","","testscripts.spec.js","",""
"","15288","Scenario 1: locked out user shows error message","webkit","2026-02-01","passed","2026-02-01","","testscripts.spec.js","",""
"","8613","problem_user can log in","webkit","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","12606","visual_user login result","webkit","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","15610","performance_glitch_user can log in","chromium","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","8935","error_user can log in","webkit","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","15434","standard_user can log in","webkit","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","14746","Scenario 1: locked out user shows error message","chromium","2026-02-01","passed","2026-02-01","","testscripts.spec.js","",""
"","9376","locked_out_user login result","webkit","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","15315","error_user login result","chromium","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","8896","problem_user can log in","chromium","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","15586","Scenario 2: valid user can log in","webkit","2026-02-01","passed","2026-02-01","","testscripts.spec.js","",""
"","10047","locked out user shows error message","webkit","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","27344","Scenario 2: valid user can log in","firefox","2026-02-01","passed","2026-02-01","","testscripts.spec.js","",""
"","14855","performance_glitch_user can log in","webkit","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","15783","standard_user login result","firefox","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","16915","standard_user login result","webkit","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","45989","locked out user shows error message","firefox","2026-02-02","broken","2026-02-02","","testscripts.spec.js","",""
"","26447","Scenario 1: locked out user shows error message","firefox","2026-02-01","passed","2026-02-01","","testscripts.spec.js","",""
"","16550","performance_glitch_user login result","firefox","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","4443","visual_user login result","chromium","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","18324","problem_user login result","chromium","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","39916","standard_user can log in","firefox","2026-02-02","broken","2026-02-02","","testscripts.spec.js","",""
"","27526","error_user can log in","firefox","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","4730","locked_out_user login result","chromium","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","14422","Scenario 2: valid user can log in","chromium","2026-02-01","passed","2026-02-01","","testscripts.spec.js","",""
"","12289","visual_user login result","firefox","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","18093","performance_glitch_user login result","webkit","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","6683","error_user can log in","chromium","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","12064","locked_out_user login result","firefox","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","16955","problem_user login result","webkit","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","34738","problem_user can log in","firefox","2026-02-02","broken","2026-02-02","","testscripts.spec.js","",""
"","10762","error_user login result","firefox","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","7905","visual_user can log in","chromium","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","18087","visual_user can log in","firefox","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","17102","problem_user login result","firefox","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","18598","standard_user login result","chromium","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","11554","error_user login result","webkit","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
"","6807","visual_user can log in","webkit","2026-02-02","passed","2026-02-02","","testscripts.spec.js","",""
